rooms,area1,district,building_type,year,price,no_first_no_last,area3_bins
2.0,48.2,Советский район,кирпич,1991.0,7500000,True,1.0
0.8,20.0,Ленинский район,кирпич,1952.0,2050000,False,0.0
2.0,45.6,Автозаводский район,кирпич,1991.0,6000000,True,1.0
3.0,62.3,Автозаводский район,панель,1987.0,5800000,True,1.0
3.0,65.1,Советский район,панель,1988.0,6950000,False,1.0
1.0,31.3,Московский район,панель,1962.0,3100000,False,0.0
2.0,38.0,Нижегородский район,панель,1980.0,6000000,True,0.0
2.0,44.0,Нижегородский район,кирпич,1974.0,5750000,False,0.0
1.0,45.2,Советский район,блок+утеплитель,2025.0,8710000,True,2.0
1.0,46.3,Нижегородский район,кирпич,2007.0,7250000,True,2.0
2.0,49.7,Сормовский район,кирпич,1993.0,5890000,True,1.0
2.0,45.1,Автозаводский район,кирпич,1972.0,4300000,False,1.0
2.0,46.6,Автозаводский район,панель,1967.0,5300000,True,1.0
1.0,41.9,Автозаводский район,блок+утеплитель,2026.0,6997300,True,0.0
3.0,70.5,Автозаводский район,панель,2010.0,8500000,False,2.0
1.0,50.49,Советский район,блок+утеплитель,2025.0,8560000,True,2.0
1.0,32.1,Автозаводский район,панель,2020.0,5300000,True,1.0
1.0,31.3,Автозаводский район,блок+утеплитель,2011.0,4700000,True,1.0
1.0,34.1,Ленинский район,блок+утеплитель,2018.0,6500000,True,1.0
1.0,36.0,Автозаводский район,кирпич,1986.0,4300000,False,1.0
1.0,33.0,Автозаводский район,панель,1963.0,4300000,True,1.0
1.0,46.6,Автозаводский район,блок+утеплитель,2026.0,7782200,True,0.0
4.0,85.5,Автозаводский район,панель,1982.0,9450000,True,1.0
1.0,40.7,Нижегородский район,блок+утеплитель,2010.0,7150000,True,1.0
2.0,42.6,Московский район,кирпич,1966.0,3750000,False,0.0
2.0,52.6,Автозаводский район,панель,1999.0,5700000,False,1.0
1.0,31.5,Советский район,панель,1966.0,4500000,False,0.0
1.0,34.5,Сормовский район,панель,1975.0,4999999,True,1.0
3.0,57.4,Автозаводский район,панель,1971.0,6600000,True,1.0
3.0,62.0,Сормовский район,панель,1968.0,6900000,True,1.0
2.0,45.4,Нижегородский район,кирпич,1972.0,7400000,False,1.0
2.0,40.0,Ленинский район,кирпич,1961.0,4600000,True,0.0
1.0,26.0,Канавинский район,кирпич,1961.0,4400000,False,1.0
3.0,48.9,Сормовский район,панель,1974.0,4950000,True,1.0
2.0,41.1,Советский район,кирпич,1975.0,7950000,True,1.0
3.0,54.5,Сормовский район,панель,1978.0,5200000,True,1.0
2.0,40.0,Сормовский район,панель,1972.0,4500000,False,1.0
2.0,47.7,Автозаводский район,панель,1971.0,4750000,True,1.0
4.0,79.0,Сормовский район,панель,1977.0,8900000,True,2.0
4.0,100.9,Сормовский район,кирпич,1995.0,8100000,False,1.0
1.0,32.0,Московский район,кирпич,1961.0,3700000,False,0.0
3.0,63.3,Сормовский район,панель,1973.0,6100000,False,1.0
2.0,43.0,Канавинский район,кирпич,1962.0,6500000,True,1.0
2.0,40.0,Автозаводский район,кирпич,1966.0,5100000,False,1.0
2.0,49.0,Сормовский район,кирпич,1985.0,4500000,True,1.0
2.0,50.9,Московский район,панель,1979.0,4350000,True,1.0
2.0,41.4,Нижегородский район,кирпич,1986.0,3600000,False,0.0
3.0,54.5,Советский район,кирпич,1965.0,6300000,True,1.0
3.0,52.0,Нижегородский район,кирпич,1959.0,6600000,False,1.0
3.0,67.8,Канавинский район,панель,1982.0,7200000,True,1.0
3.0,57.8,Канавинский район,панель,1979.0,7400000,False,1.0
1.0,20.0,Автозаводский район,кирпич,1987.0,2600000,False,0.0
2.0,47.0,Канавинский район,панель,1982.0,5800000,True,1.0
1.0,44.0,Советский район,блок+утеплитель,2022.0,6750000,True,1.0
