rooms,area1,district,building_type,price,year_type,no_first_no_last,area3_bins
2.0,52.6,Автозаводский район,панель,5700000,новый_дом,False,1.0
1.0,31.5,Советский район,панель,4500000,старый_дом,False,0.0
1.0,34.5,Сормовский район,панель,4999999,старый_дом,True,1.0
3.0,57.4,Автозаводский район,панель,6600000,старый_дом,True,1.0
3.0,62.0,Сормовский район,панель,6900000,старый_дом,True,1.0
2.0,45.4,Нижегородский район,кирпич,7400000,старый_дом,False,1.0
2.0,40.0,Ленинский район,кирпич,4600000,старый_дом,True,0.0
1.0,26.0,Канавинский район,кирпич,4400000,старый_дом,False,1.0
3.0,48.9,Сормовский район,панель,4950000,старый_дом,True,1.0
2.0,41.1,Советский район,кирпич,7950000,старый_дом,True,1.0
3.0,54.5,Сормовский район,панель,5200000,старый_дом,True,1.0
2.0,40.0,Сормовский район,панель,4500000,старый_дом,False,1.0
2.0,47.7,Автозаводский район,панель,4750000,старый_дом,True,1.0
4.0,79.0,Сормовский район,панель,8900000,старый_дом,True,2.0
4.0,100.9,Сормовский район,кирпич,8100000,старый_дом,False,1.0
1.0,32.0,Московский район,кирпич,3700000,старый_дом,False,0.0
3.0,63.3,Сормовский район,панель,6100000,старый_дом,False,1.0
2.0,43.0,Канавинский район,кирпич,6500000,старый_дом,True,1.0
2.0,40.0,Автозаводский район,кирпич,5100000,старый_дом,False,1.0
2.0,49.0,Сормовский район,кирпич,4500000,старый_дом,True,1.0
2.0,50.9,Московский район,панель,4350000,старый_дом,True,1.0
2.0,41.4,Нижегородский район,кирпич,3600000,старый_дом,False,0.0
3.0,54.5,Советский район,кирпич,6300000,старый_дом,True,1.0
3.0,52.0,Нижегородский район,кирпич,6600000,старый_дом,False,1.0
3.0,67.8,Канавинский район,панель,7200000,старый_дом,True,1.0
3.0,57.8,Канавинский район,панель,7400000,старый_дом,False,1.0
1.0,20.0,Автозаводский район,кирпич,2600000,старый_дом,False,0.0
2.0,47.0,Канавинский район,панель,5800000,старый_дом,True,1.0
1.0,44.0,Советский район,блок+утеплитель,6750000,новый_дом,True,1.0
2.0,41.4,Канавинский район,кирпич,4000000,старый_дом,True,0.0
1.0,32.0,Советский район,кирпич,4700000,старый_дом,False,0.0
0.8,17.4,Автозаводский район,панель,3650000,новый_дом,True,0.0
2.0,31.4,Ленинский район,кирпич,4250000,старый_дом,True,1.0
3.0,55.8,Автозаводский район,кирпич,5900000,старый_дом,False,0.0
3.0,57.7,Советский район,панель,8100000,старый_дом,False,1.0
3.0,63.5,Канавинский район,кирпич,5300000,старый_дом,False,1.0
1.0,30.3,Ленинский район,панель,4100000,старый_дом,False,0.0
1.0,39.71,Автозаводский район,блок+утеплитель,7000000,новый_дом,True,2.0
2.0,46.0,Ленинский район,панель,5400000,старый_дом,True,1.0
4.0,73.4,Московский район,кирпич,7400000,старый_дом,True,1.0
2.0,42.8,Автозаводский район,панель,6000000,старый_дом,True,1.0
1.0,30.7,Автозаводский район,блок+утеплитель,4430000,новый_дом,True,1.0
0.8,20.5,Автозаводский район,кирпич,3850000,новый_дом,True,0.0
0.8,17.2,Автозаводский район,панель,3100000,новый_дом,True,0.0
2.0,34.0,Автозаводский район,шлакоблок,2850000,старый_дом,False,0.0
2.0,48.0,Автозаводский район,кирпич,3100000,старый_дом,False,1.0
2.0,51.12,Автозаводский район,блок+утеплитель,8322336,новый_дом,True,1.0
2.0,45.0,Автозаводский район,панель,4200000,старый_дом,True,1.0
1.0,32.0,Сормовский район,панель,4700000,новый_дом,False,1.0
4.0,63.0,Ленинский район,кирпич,6500000,старый_дом,False,1.0
3.0,55.2,Автозаводский район,шлакоблок,4800000,старый_дом,False,1.0
2.0,52.3,Канавинский район,панель,5900000,старый_дом,False,1.0
2.0,27.3,Автозаводский район,кирпич,3200000,старый_дом,True,1.0
1.0,18.1,Автозаводский район,кирпич,2300000,старый_дом,False,0.0
3.0,59.7,Нижегородский район,панель,6500000,старый_дом,False,1.0
2.0,54.0,Советский район,кирпич,7600000,старый_дом,False,1.0
1.0,32.7,Московский район,панель,3300000,старый_дом,False,1.0
2.0,37.4,Автозаводский район,шлакоблок,3800000,старый_дом,False,0.0
1.0,31.0,Советский район,кирпич,4700000,старый_дом,False,1.0
1.0,20.5,Московский район,кирпич,2850000,старый_дом,True,0.0
3.0,58.4,Автозаводский район,панель,5350000,старый_дом,False,0.0
0.8,17.2,Автозаводский район,панель,3100000,новый_дом,True,0.0
2.0,42.1,Канавинский район,кирпич,4000000,старый_дом,False,1.0
2.0,52.0,Канавинский район,панель,6200000,старый_дом,True,1.0
3.0,59.4,Советский район,панель,5800000,старый_дом,True,1.0
1.0,30.7,Автозаводский район,кирпич,3700000,старый_дом,True,1.0
1.0,31.3,Автозаводский район,кирпич,4000000,старый_дом,False,0.0
2.0,49.43,Ленинский район,монолитный железобетон,9737710,новый_дом,True,1.0
1.0,48.09,Ленинский район,монолитный железобетон,9137100,новый_дом,True,2.0
2.0,44.3,Сормовский район,кирпич,5399000,старый_дом,False,0.0
3.0,47.7,Канавинский район,дерево,2150000,старый_дом,False,1.0
1.0,34.2,дер. Анкудиновка,монолитный железобетон,4343400,новый_дом,True,2.0
1.0,23.8,дер. Анкудиновка,монолитный железобетон,3950000,новый_дом,False,0.0
3.0,77.6,Московский район,кирпич,7000000,старый_дом,False,2.0
1.0,45.3,Советский район,блок+утеплитель,8550000,новый_дом,True,1.0
2.0,60.5,Нижегородский район,панель,9000000,новый_дом,True,1.0
1.0,40.73,Нижегородский район,блок+утеплитель,6999980,новый_дом,True,1.0
1.0,30.6,Московский район,панель,5000000,новый_дом,True,1.0
3.0,61.0,Советский район,панель,7190000,старый_дом,False,1.0
2.0,46.0,Автозаводский район,панель,4870000,старый_дом,False,1.0
1.0,36.6,Автозаводский район,кирпич,3430000,старый_дом,True,1.0
1.0,37.3,дер. Анкудиновка,монолитный железобетон,4960900,новый_дом,True,2.0
1.0,38.27,Ленинский район,монолитный железобетон,7567893,новый_дом,True,2.0
3.0,62.4,Московский район,панель,6300000,старый_дом,False,1.0
3.0,66.5,Нижегородский район,панель,7300000,новый_дом,True,1.0
2.0,48.7,дер. Анкудиновка,панель,5746600,новый_дом,True,2.0
2.0,44.1,Советский район,кирпич,5490000,старый_дом,True,0.0
1.0,37.8,дер. Анкудиновка,панель,5150000,новый_дом,True,0.0
2.0,61.0,Советский район,монолитный железобетон,9345627,новый_дом,False,3.0
2.0,27.7,Автозаводский район,кирпич,2960000,старый_дом,True,0.0
3.0,64.9,Нижегородский район,панель,7400000,старый_дом,False,1.0
2.0,47.5,Канавинский район,блок+утеплитель,8250000,новый_дом,True,1.0
3.0,69.0,Советский район,кирпич,9000000,старый_дом,False,1.0
2.0,45.5,Канавинский район,кирпич,5200000,старый_дом,True,0.0
2.0,52.0,Канавинский район,панель,6950000,старый_дом,True,1.0
3.0,65.4,Канавинский район,панель,9699999,старый_дом,True,1.0
2.0,45.1,Нижегородский район,кирпич,9200000,старый_дом,True,1.0
1.0,31.2,Ленинский район,кирпич,4450000,старый_дом,True,0.0
1.0,34.2,дер. Анкудиновка,монолитный железобетон,4275000,новый_дом,True,2.0
1.0,39.5,Канавинский район,кирпич,6000000,новый_дом,True,1.0
1.0,34.7,Автозаводский район,кирпич,4740000,старый_дом,True,1.0
3.0,58.6,Сормовский район,панель,7400000,старый_дом,True,1.0
3.0,60.2,Сормовский район,кирпич,5600000,старый_дом,True,0.0
1.0,30.2,Ленинский район,панель,3850000,старый_дом,False,0.0
3.0,54.2,Московский район,кирпич,5210000,старый_дом,True,1.0
3.0,50.0,Сормовский район,панель,5600000,старый_дом,False,0.0
1.0,35.7,Нижегородский район,кирпич,7700000,старый_дом,False,1.0
2.0,70.0,Советский район,блок+утеплитель,9800000,новый_дом,True,2.0
4.0,59.8,Канавинский район,панель,5200000,старый_дом,False,1.0
3.0,82.5,дер. Анкудиновка,панель,9487500,новый_дом,True,3.0
2.0,44.1,Сормовский район,панель,4950000,старый_дом,False,1.0
3.0,84.3,дер. Анкудиновка,монолитный железобетон,8261400,новый_дом,True,3.0
3.0,62.6,Автозаводский район,панель,8000000,старый_дом,True,1.0
4.0,58.2,Сормовский район,панель,7500000,старый_дом,False,0.0
2.0,42.6,Советский район,кирпич,4850000,старый_дом,False,1.0
1.0,34.8,дер. Анкудиновка,панель,5046000,новый_дом,True,2.0
2.0,57.8,дер. Анкудиновка,панель,7976400,новый_дом,True,1.0
2.0,46.0,Московский район,кирпич,4599000,старый_дом,True,0.0
3.0,60.5,Канавинский район,кирпич,5800000,старый_дом,True,1.0
3.0,56.1,Нижегородский район,кирпич,6900000,старый_дом,True,0.0
1.0,37.3,дер. Анкудиновка,панель,5408500,новый_дом,True,2.0
2.0,62.1,Автозаводский район,монолитный железобетон,10013377,новый_дом,True,3.0
1.0,33.0,Сормовский район,панель,3250000,старый_дом,True,1.0
2.0,57.4,дер. Анкудиновка,панель,7493226,новый_дом,True,2.0
